 801219   354.50  1366.3128
 801220   355.50  1366.7705
 801221   356.50  1367.0886
 801222   357.50   -99.0000
 801223   358.50  1366.8984
 801224   359.50  1366.5792
 801225   360.50  1366.7778
 801226   361.50   -99.0000
 801227   362.50  1366.5577
 801228   363.50  1366.3879
 801229   364.50  1366.3874
 801230   365.50   -99.0000
 801231   366.50  1367.1632
 810101   367.50  1367.0829
 810102   368.50  1367.3912
 810103   369.50   -99.0000
 810104   370.50  1367.0016
 810105   371.50  1367.0110
 810106   372.50  1367.1400
 810107   373.50   -99.0000
 810108   374.50  1366.8002
 810109   375.50  1366.9292
 810110   376.50  1367.0083
 810111   377.50   -99.0000
 810112   378.50  1367.4354
 810113   379.50  1367.5146
 810114   380.50  1367.5240
 810115   381.50   -99.0000
 810116   382.50  1367.1461
 810117   383.50  1367.1364
 810118   384.50  1367.1466
 810119   385.50   -99.0000
 810120   386.50  1367.1771
 810121   387.50  1367.4164
 810122   388.50  1367.5362
 810123   389.50   -99.0000
 810124   390.50  1367.4370
 810125   391.50  1367.2979
 810126   392.50  1367.3080
 810127   393.50   -99.0000
 810128   394.50  1367.2987
 810129   395.50  1367.3187
 810130   396.50  1367.0600
 810131   397.50   -99.0000
 810201   398.50  1366.3234
 810202   399.50  1366.2440
 810203   400.50  1366.4932
 810204   401.50   -99.0000
 810205   402.50  1367.0117
 810206   403.50  1367.1115
 810207   404.50  1366.9026
 810208   405.50   -99.0000
 810209   406.50  1366.4050
 810210   407.50  1366.3753
 810211   408.50  1366.3855
 810212   409.50   -99.0000
 810213   410.50  1366.6449
 810214   411.50  1366.5753
 810215   412.50  1366.6354
 810216   413.50   -99.0000
 810217   414.50  1366.2373
 810218   415.50  1366.2675
 810219   416.50  1366.6661
 810220   417.50   -99.0000
 810221   418.50  1366.6366
 810222   419.50  1366.4177
 810223   420.50  1366.1689
 810224   421.50   -99.0000
 810225   422.50  1366.0597
 810226   423.50  1366.1395
 810227   424.50  1366.0102
 810228   425.50   -99.0000
 810301   426.50  1365.7217
 810302   427.50  1366.1303
 810303   428.50  1366.2799
 810304   429.50   -99.0000
 810305   430.50  1366.6488
 810306   431.50  1366.6689
 810307   432.50  1366.7687
 810308   433.50   -99.0000
 810309   434.50  1366.3407
 810310   435.50  1366.5699
 810311   436.50  1366.8191
 810312   437.50   -99.0000
 810313   438.50  1366.9391
 810314   439.50  1366.9392
 810315   440.50  1367.1186
 810316   441.50   -99.0000
 810317   442.50  1367.1985
 810318   443.50  1367.1290
 810319   444.50  1367.0893
 810320   445.50   -99.0000
 810321   446.50  1366.2529
 810322   447.50  1366.3427
 810323   448.50  1366.6317
 810324   449.50   -99.0000
 810325   450.50  1366.7116
 810326   451.50  1366.7018
 810327   452.50  1366.9311
 810328   453.50   -99.0000
 810329   454.50  1367.0807
 810330   455.50  1367.1706
 810331   456.50  1367.4695
 810401   457.50   -99.0000
 810402   458.50  1367.6690
 810403   459.50  1367.4798
 810404   460.50  1367.4402
 810405   461.50   -99.0000
 810406   462.50  1366.9224
 810407   463.50  1366.7731
 810408   464.50  1366.6537
 810409   465.50   -99.0000
 810410   466.50  1366.3451
 810411   467.50  1366.2655
 810412   468.50  1366.4648
 810413   469.50   -99.0000
 810414   470.50  1366.0865
 810415   471.50  1366.1464
 810416   472.50  1366.1067
 810417   473.50   -99.0000
 810418   474.50  1366.0571
 810419   475.50  1366.5553
